study_hours,attendance,sleep_hours,internet_usage,assignments_completed,previous_score,exam_score
13,98,7.2,7.4,2,36,64.26
18,96,5.2,2.1,0,95,97.44
18,96,4.4,5.9,1,73,82.08
3,56,5.3,5.9,2,35,36.49
7,48,8,3,10,41,67.72
20,68,4.4,7.5,8,40,81.23
11,69,4.8,3.5,5,33,54.61
1,89,4.1,7,0,33,29.87
6,88,7.7,6.7,1,40,54
16,100,8,5,8,77,96.69
20,41,7.6,9.9,5,78,83.74
17,81,5.4,3.6,2,40,69.58
5,78,7.3,5.9,4,92,75.73
3,49,4.9,7.9,8,35,44.1
16,42,6.5,5.2,0,36,45.53
9,96,5.2,4.1,5,41,65.38
17,57,6.7,4.6,9,45,77.82
5,91,5.3,3.1,5,77,77.25
12,59,8.1,8.1,6,35,62.2
2,80,6.3,4.7,3,82,66.49
20,75,6.3,4.2,0,97,87.13
3,43,5.3,1.4,1,80,51.44
17,47,8.5,9.2,0,63,64.96
9,94,7.2,5.9,7,93,96.91
8,73,5,7.5,3,97,75.92
13,57,5.2,7.1,2,81,71.12
10,86,4.9,6.1,10,69,84.77
6,41,5.2,4.8,2,77,58.56
17,67,5.1,3.8,4,40,68.91
2,92,6,9.5,10,79,73.18
12,88,5.5,8.9,2,81,77.96
12,61,6.7,2.7,3,32,60.01
16,64,5.5,8.1,4,95,86.21
17,72,8.6,1.2,3,43,74.84
18,84,6.5,2.6,4,72,93.51
5,69,7.1,7.3,10,73,71.62
2,94,5.5,2.8,3,56,64.94
12,52,8.1,3.3,5,45,65.16
8,91,4.7,1.9,1,88,76.2
4,74,4.2,9.8,3,41,44.31
7,71,5.1,4.6,5,58,58.44
14,94,4.2,1.7,1,94,87.6
11,64,4.5,9.6,6,100,84.14
17,97,4,9.2,3,33,71.12
1,77,4.5,8,1,100,55.88
20,73,8.6,3.2,6,72,97.04
16,56,7.6,8.4,9,45,82.04
14,98,4,6.6,3,80,80.71
12,48,8.4,1.7,9,39,77.48
17,80,7.9,3.6,8,67,92.49
13,73,6.4,8.5,9,47,78.61
14,52,4.9,7.5,3,94,72.35
8,68,5.4,4,1,41,47.14
2,84,7.7,7.6,2,96,68.87
2,93,5.8,1.2,5,60,66.92
13,67,6.2,8.1,0,96,76.31
4,87,4.6,8,0,35,44.6
2,73,8.4,4.3,6,41,60.45
1,64,4.8,5.1,5,57,47.16
6,89,5.1,9.1,5,36,57.48
17,75,4.9,6.1,7,92,95.32
18,81,8.5,6.6,8,63,91.13
2,47,5.2,9.1,0,97,56.51
7,61,5.5,5.3,10,100,91.89
17,48,6,2.9,10,77,95.97
4,43,4.5,4.3,0,36,32.34
19,77,7.5,8.2,4,53,83.77
15,56,6.9,2.5,9,83,98.48
19,91,5.9,8,4,100,100
20,87,7.6,7.1,7,41,90.24
10,49,6.7,4.3,6,61,64.35
19,46,5.5,8,4,54,74.44
7,46,4.9,8,3,67,56.65
14,65,6.8,9.6,0,82,70.08
1,75,6.4,4.6,1,88,63.9
1,81,6.2,7.7,4,59,54.13
8,60,7.4,6.4,5,61,69.66
17,48,7.3,6.1,0,66,70.5
12,66,8.4,2.1,2,85,78.98
18,91,8.2,2.3,9,75,100
5,67,7.3,1.8,8,78,80.88
12,66,7.2,9.3,3,31,53.58
14,46,7.4,7.2,2,54,63.87
11,76,5.7,9.3,1,62,64.16
9,65,6.7,3.2,4,95,78.65
2,94,4.1,9.6,7,58,54.43
17,67,7,9.2,6,38,75.83
4,93,8.9,4.5,3,39,52.6
7,92,7.1,8.4,0,36,53.36
13,73,4.3,6.8,1,67,66.67
3,94,7.7,1.5,6,52,74.09
17,52,8.4,9.5,10,82,95.4
2,86,5.8,6.7,4,32,51.11
15,68,7,4.5,0,87,82.83
13,88,8.3,7,9,47,81.19
18,91,4.5,8.9,10,90,100
2,50,6.8,9.4,1,63,35.93
17,83,6.7,1.6,3,55,77.72
8,45,8.7,9.6,5,75,67.67
6,52,5.7,9.6,1,89,57.58
3,69,4.1,8.6,2,43,34.61
6,40,5.9,3,6,60,64.18
11,48,6.3,5.9,5,78,67.82
7,68,4.4,7,4,69,59.36
2,86,8.8,8.8,5,36,47.35
13,58,6.6,9.8,1,85,65.62
2,55,6.3,7.1,1,80,51.05
4,99,4.7,5.2,7,95,80.63
6,44,4.1,2.5,1,92,66.15
19,74,8.1,1.9,3,63,86.85
14,50,6.9,4.1,7,86,84.29
14,95,8.1,8.9,8,61,92.09
17,51,6.7,10,6,33,60.75
19,88,6.2,7.6,7,99,100
14,65,7.4,10,7,91,90.33
13,95,8.7,3.1,6,96,100
5,95,8,4.3,0,78,68.24
3,82,8.2,2.6,10,74,81.77
6,45,9,7.1,10,76,70.53
11,74,8.9,9.4,10,63,82.34
5,86,4.4,6.9,2,39,53.16
5,60,6.8,9.7,9,35,55.45
18,89,7.4,3.1,9,99,100
18,95,4.1,2.4,0,72,85.65
20,84,7.6,7,8,85,100
20,85,7.5,5.6,4,46,79.43
20,61,8.2,6.5,8,38,83.16
10,62,6.3,5.9,7,34,63.5
15,45,5.8,2.6,8,81,87.48
16,52,6.7,9.7,2,33,58.15
15,57,5.9,1.7,9,38,79.76
15,71,7.1,5.4,8,49,84.85
19,98,6.2,5.5,2,46,75.58
19,52,6.5,7.7,10,98,100
17,40,6,2.7,10,60,84.42
9,96,4.1,9.1,5,79,74.49
20,61,7.4,6.1,0,45,62.05
18,51,7.9,4.1,5,64,78.74
17,65,6.3,4.5,2,75,83.13
20,58,4.9,3.2,2,98,93.65
9,90,6,8.8,3,99,86.13
19,99,4.5,4.6,4,40,81.06
11,51,6.7,4,7,52,74.46
11,64,4.8,6.2,6,58,72.88
8,61,6.6,8,5,43,52.05
17,46,6.8,4.5,5,33,70.28
16,73,5.3,4.5,8,71,84.3
11,88,6.4,7.1,4,58,65.17
10,80,7.1,8.9,8,39,72.94
4,98,6.4,5.4,0,55,55.04
11,77,5.2,8.1,1,76,63.01
10,45,5.6,5.1,5,71,63.7
7,86,4.9,6.6,3,83,70.79
17,46,5.2,4.8,5,35,57.63
20,57,8.8,2.3,10,43,89.11
3,42,7.9,2.6,6,97,79.26
4,84,7,5.3,0,46,51.59
1,57,5.8,3.1,8,97,76.7
12,65,4.8,2.2,5,84,81.4
11,95,7.9,5.6,7,98,98.04
10,95,4.8,5.4,5,95,86.16
9,74,7.2,7.6,6,76,80.2
11,90,7.6,6.5,2,94,79.17
20,98,4.6,1.7,6,72,94.62
1,96,4.2,2.4,4,77,69.41
19,81,8.4,1.7,3,46,83.84
4,91,5.6,3.9,3,30,48.06
16,42,6.6,6.7,6,53,72.3
10,59,5.4,5.7,9,79,80.56
20,85,6.5,5.5,3,84,93.14
15,86,8.7,6.8,2,30,59.6
17,87,7.5,9.3,4,56,83.55
3,73,5.1,8.3,8,43,58.21
7,93,4.3,2.8,2,30,54.03
20,45,4.3,7.6,1,96,76.35
9,71,4.8,7.5,7,74,68.8
6,89,6.4,5.7,1,88,66.75
6,97,5.8,5.2,4,76,74.95
9,70,4.7,2.4,9,34,65.55
20,45,6.6,8,10,88,96.96
18,55,7.6,4.5,8,53,86.79
4,81,6.3,1.6,10,57,73.39
7,99,6.8,6.2,2,33,52.72
6,49,6.9,6.1,9,57,68.92
6,46,7.7,8.2,10,39,60.82
8,75,6.8,3.1,2,71,70.45
8,90,6.9,9.1,3,70,68.95
10,57,6.1,5.4,10,89,91.62
16,54,4.8,4.5,3,32,59.01
9,95,5.3,8.3,7,44,64.48
15,78,8.1,8.7,7,30,66.66
6,68,4.3,1.5,3,89,74.98
16,86,4.6,5.4,5,47,76.37
18,100,8.6,3.2,2,33,80.47
4,48,8,4.6,0,100,59.26
2,96,4.2,7.8,7,89,75.46
17,95,6.8,4.1,3,77,92.72
12,51,5.2,5.8,0,35,41.61
9,59,5.2,4.5,1,71,55.9
3,62,8.2,2.5,3,41,44.61
5,81,6.9,8,9,74,79.4
3,59,5,3.5,8,54,55.63
7,98,4,4.7,7,40,63.03
19,71,4.5,9.7,2,80,72.93
5,86,4.8,2.9,1,88,68.18
5,43,4.6,7.9,10,41,49.66
13,65,4.5,9.2,0,45,51.36
2,68,4.7,4.1,8,86,78.73
7,99,7.1,7.6,0,67,63.83
14,64,5.7,5.8,10,52,80.3
10,89,6.6,2.3,4,52,67.68
10,41,7.9,7.1,10,97,84.12
11,95,4,7,2,49,63.21
13,48,4.1,8.4,3,76,70.95
12,86,5.9,8.1,10,30,76.14
7,85,7.3,6.4,2,93,79.59
4,54,8.8,2.1,4,54,57.45
12,75,5.6,4.3,4,46,62.91
1,56,8.7,9,2,33,30.23
16,99,4.3,2.1,9,50,91.36
18,71,5.4,2.5,9,37,82.65
3,67,6.1,6.3,6,59,54.63
10,73,7.3,9.1,5,70,69.04
6,92,8.4,6.7,0,58,60.99
10,42,5.2,2.1,9,76,84.74
13,71,6.8,7.9,7,77,82.79
10,79,4.3,5,10,74,84.97
14,93,4.9,3.2,7,43,75.17
9,69,6.2,2,8,37,71.82
17,47,4.2,1.2,6,100,91.05
15,65,5.4,9.5,7,50,70.22
2,74,4.1,1.9,10,76,76.29
5,77,4.2,7.5,5,37,49.65
7,72,4.2,5.1,3,36,48.98
8,61,4.4,1.4,4,76,75.97
9,71,5.5,8.2,2,44,54.1
1,41,6.8,2.6,8,97,75.83
15,67,7.5,6.4,7,33,66.9
18,40,5.7,10,3,81,68.72
15,99,5.3,4.9,6,85,99.79
3,62,6.9,5.7,2,90,57.21
2,57,6,4.8,4,72,58.77
1,88,4.3,2,7,92,80.86
4,98,5.3,1.2,10,63,83.89
18,89,8.7,1.6,9,64,100
11,55,7.3,7.4,5,52,57.92
20,78,6.5,8.3,4,93,100
13,90,7,9.9,10,58,87.48
7,69,7,7.2,6,78,74.59
10,46,6.1,4.4,1,49,47.82
10,100,4.2,5.3,4,61,69.74
6,88,5.6,2.6,8,67,80.51
4,79,6.2,1.1,4,51,65.89
5,41,5.1,1.5,7,99,81.5
4,45,6.1,8.6,10,33,52.74
9,46,8.2,9.1,8,40,56.16
20,76,6.6,5.5,9,87,100
4,45,8.9,9.7,8,94,74.94
10,99,7.3,1.3,1,99,94.15
9,59,6.7,2.4,1,87,76.25
12,73,6.6,9.3,9,86,94.74
12,68,8.7,5.9,0,33,49.85
2,66,6.4,5.3,1,53,49.39
13,76,4.4,6.4,1,40,60.79
17,97,6.5,8.4,4,51,79.55
14,75,8.5,2.4,6,91,99.13
2,57,4.2,4.2,1,63,50.35
3,90,6.9,2,6,35,60.41
18,81,5.2,5.4,10,100,100
11,86,5.9,2,7,80,86.66
2,96,7,4.8,10,66,83.02
13,64,6.7,7.5,9,84,83.75
15,72,5.6,1.6,0,49,65.95
4,64,4.7,9.8,5,61,57.15
14,57,6.7,2.1,8,58,79.18
13,74,7.5,3.1,0,85,73.55
9,65,6.4,9.9,8,86,80.75
3,67,4.1,8.5,1,68,41.96
4,77,8.5,9.9,3,75,64.08
20,80,8.1,10,3,82,84.42
7,70,7.6,9,5,53,66.09
2,98,5.3,6,1,81,60.45
1,98,4.8,9.2,4,68,58.51
9,47,7.1,4.9,10,34,68.95
10,57,4.1,6.1,6,38,56.11
16,97,8.6,7.7,8,46,89.27
20,74,6.9,5.9,0,99,90.97
1,95,6,8.5,2,42,42.41
15,57,6.1,8.6,1,58,64.95
20,51,8.6,6.6,4,99,93.94
18,79,8,3.2,9,80,100
18,68,5.6,5.6,9,69,94.78
3,60,5.7,3.4,5,36,43.67
20,48,7.6,7.1,0,91,86.36
8,84,8.6,9,0,74,59.28
16,45,6.1,7.6,3,98,83.8
18,91,6,4.8,3,82,97.26
5,46,6.6,3.3,5,37,47.97
1,43,4.1,6.9,9,68,60.95
10,73,8.9,3.3,0,67,72.48
13,83,8.3,8.1,8,85,92.89
14,43,5.6,4.9,2,31,54.21
10,60,6.1,4.3,7,73,78.07
1,76,6.3,9.6,5,58,48.97
17,91,7,4.8,3,77,86.35
13,96,5.9,2.2,10,53,94.83
11,84,5.4,2,10,72,94.02
12,54,8.6,1.1,10,84,92.24
6,47,4.9,3.6,7,84,77.6
16,84,7.3,3.8,2,70,83.72
13,41,4.5,2.6,1,41,49.62
17,92,8.8,5.8,8,79,100
1,88,8.5,5.8,1,90,67.17
13,70,7.6,9.9,2,55,67.12
6,76,7,9.5,7,31,59.87
9,68,4.7,7.5,4,51,59.5
14,44,4.7,2,2,36,50.89
9,54,7.7,9,5,59,61
19,86,5.9,7.8,0,89,85.53
6,63,8.9,9.5,2,69,53.47
18,84,7.8,5.5,4,76,94.62
9,43,4.2,9.5,4,69,58.02
10,81,6.3,7.7,3,39,52.65
7,49,8.7,9.9,4,98,72.67
16,83,8.7,7.6,1,87,83.85
13,88,5,7,10,51,82.77
1,52,8.3,6,6,51,55.9
16,62,7.6,6.9,0,38,58.2
13,55,8.1,3.3,10,54,77.67
20,90,8.9,3.9,8,94,100
9,79,8.5,4,3,69,67.79
4,72,4.3,8.9,7,90,71.72
17,97,4.3,4.8,2,65,77.56
12,56,5.3,1.5,8,56,80.69
12,84,4.3,6.4,3,87,81.61
18,46,4.1,7.2,10,71,83.51
20,47,4.7,5.1,8,95,99.82
18,87,5.9,6.6,9,84,100
17,72,7.9,9,9,37,76.25
11,70,6.9,2.2,7,43,69.97
15,83,4.7,4.4,0,41,65.23
20,74,7.7,4.4,4,52,80.15
7,93,6.8,3,7,50,74.57
8,76,8,2.4,1,100,80.4
13,98,8.1,9.5,9,56,92.22
17,95,6.6,1.4,9,57,94.38
4,42,8.1,1.1,3,52,57.19
1,44,7.5,4.5,6,78,56.78
1,72,8.2,6.4,8,91,79.52
4,40,6.7,8.4,3,77,51.64
3,58,4.3,7.5,8,67,66.2
8,81,8.7,6.3,0,91,70.11
18,81,4.7,3.8,6,70,94.27
4,42,4,7.6,0,88,52.92
13,98,4.9,4.3,4,72,88.61
19,64,6.2,1.7,0,35,63.47
13,67,5.3,1.7,10,80,99.9
10,95,4.4,1.8,3,66,69.25
15,74,5.6,4.6,9,64,91.79
16,42,6.6,1.1,8,54,79.68
18,52,5.5,2.3,8,81,90.21
20,69,7.9,5.8,8,85,100
17,97,7.2,2.1,8,92,100
3,63,4.2,8.2,6,53,49.85
3,76,6.3,4.4,9,60,65.98
3,48,6.2,7.3,5,88,67.03
17,76,6.8,8.9,6,31,66.99
3,75,8.3,7.8,9,77,81.22
3,90,6.3,4,5,45,59.09
15,58,7.5,7,2,92,77.76
20,51,7.9,1.9,10,100,100
3,78,7.6,4.6,2,85,64.12
6,49,7,5.3,8,39,56.94
9,86,7.7,3.4,2,43,66.32
12,83,5.5,5.4,0,70,67.17
17,48,4,6.2,2,76,70.86
1,85,6.9,9.4,0,38,38.42
8,99,7.5,4.1,4,36,64.36
7,92,4.7,8.6,7,52,66.78
18,79,5.6,7.5,4,30,61.47
16,73,7.3,9.2,8,53,76.54
9,85,6.3,1.8,6,39,67.98
18,99,8.7,8,0,91,85.38
12,100,6.8,7.3,0,41,55.65
12,40,7.1,8.6,1,41,44.3
14,45,7.7,1.4,5,59,80.05
15,43,8.1,2.2,0,34,53.92
14,77,5.6,1.1,7,62,90.94
3,96,6.5,8.1,8,71,76.59
8,91,7.2,8.2,8,89,87.35
18,76,5.1,8.7,5,46,73.96
9,70,7.8,4.7,1,95,80.97
16,52,8,8.3,1,57,68.12
3,42,5.3,1.4,5,81,60.02
6,44,6.3,3.7,5,86,66.33
8,61,8.4,2.4,8,37,66.2
9,74,6.2,7.7,7,54,69.8
8,85,9,9,8,94,86.59
10,51,5.6,3.1,10,68,79.44
5,74,4.2,4,7,86,81.96
2,65,5.8,6.6,5,40,44.98
13,50,5,2.6,0,34,49.49
11,97,7.8,2,7,69,93.88
20,46,8.4,1.9,1,42,68.23
17,100,5.9,6.4,10,32,81.69
10,85,8.7,7.1,0,52,56.41
1,65,7.6,4.3,3,70,60.98
9,84,8.7,7.1,0,40,55.84
6,68,8.5,8.1,9,75,82.36
2,40,4.8,4.8,0,40,27.79
11,53,8.3,9.4,5,63,65.79
20,61,4.2,3.5,7,42,82.17
7,94,4.6,6.4,0,75,65.62
19,83,5.8,1.3,3,38,71.29
13,58,8.8,6.6,4,31,55.6
19,47,4,4.1,0,57,62.89
17,79,7.5,7.8,1,39,64.76
20,98,4.5,3,10,73,100
20,97,4.9,5.9,5,61,94.54
19,61,4.7,4.3,1,34,55.6
16,76,8.7,1.1,0,80,85.19
18,43,4.4,4.5,7,91,87.48
8,70,6.5,7.2,2,57,59.25
19,94,5.4,6.2,5,58,80.73
13,71,6.3,7.8,2,72,68.15
7,50,7.2,8.5,1,93,59.09
13,60,5.3,9.1,2,66,57.83
18,56,4.9,1.6,2,49,65.91
8,59,5.7,1.9,0,34,46.15
14,93,7.4,4.2,0,99,89.2
14,72,5.3,1.1,1,41,61.47
15,54,8,6.5,0,66,70.26
11,99,8.6,4,9,99,100
19,95,4.9,2.5,9,84,100
13,42,5.2,8.6,6,52,65.21
5,69,5.9,5.7,1,62,52.67
15,96,4.1,6.4,0,86,74.79
12,93,4.8,7.4,8,30,65.38
14,84,8.8,1.9,9,51,85.67
17,90,4.6,6.2,7,30,76.96
19,46,6.2,8,8,85,87.58
12,61,6.8,1.7,9,70,88.34
15,84,8.9,2.5,1,78,85.75
2,85,4.3,9.9,5,60,54.26
20,94,5.1,5.9,6,49,86.62
19,70,8.5,8.2,4,72,91.14
10,95,4.3,1.9,8,47,74.43
16,50,4,2.6,3,67,72.54
8,48,7.3,2.4,4,41,52.89
16,57,7.3,7.6,8,44,69.4
12,76,7,2.8,0,46,63.83
1,48,4.2,2.9,0,65,46.89
5,54,8.3,2.2,7,93,79.67
5,84,8.4,3.2,3,35,60.76
5,72,4.5,4,0,82,56.74
7,40,7.4,8.4,5,59,60.8
15,69,6.3,4.6,9,42,80.64
8,48,7.8,7.2,10,50,74.05
3,66,7.4,8.3,1,90,57.36
20,42,8.3,2.4,8,57,83.89
1,56,5.2,9.7,8,65,50.44
13,65,4.8,6.1,3,45,59.05
1,72,4.3,4.7,5,83,68.26
13,69,8.8,8.9,0,79,66.82
13,99,4.8,6.1,6,76,85.85
10,77,5.4,7.9,4,68,70.7
15,67,6,2.8,4,54,76.66
19,66,5.7,3.7,9,78,95.15
7,48,8.2,4.5,6,45,54.1
5,56,5.1,4.7,2,73,61.81
18,84,5.6,7.1,1,95,92.02
2,74,7.7,9.5,9,42,60.72
14,49,7.2,7.5,1,78,64.95
7,75,5.7,3.2,2,66,69.06
6,96,5.8,1.5,8,60,76.76
9,100,5,8.3,3,39,53.34
12,94,7.3,5.5,0,77,81.32
9,63,8.3,8,6,64,70
15,65,6.9,9.1,4,72,80.89
12,55,6.2,6.1,4,80,72.53
20,89,6.5,9.7,1,85,83.05
9,48,4.4,4.1,5,32,50.91
1,76,5.7,8.5,9,69,66.34
11,51,7.8,6.4,5,77,74.92
13,59,8.2,2.6,3,31,59.93
9,48,5.2,8,9,45,58.73
13,47,8.7,3.6,10,63,87.1
19,52,5.2,9.1,6,44,67.05
11,96,5.5,7.5,0,87,75.2
8,82,7.9,3,10,32,68.14
4,71,8.7,8.4,2,48,54.57
3,63,7.6,5,8,65,65.79
7,63,8.1,6.9,2,85,72.14
17,91,6.3,3.4,10,93,100
16,52,7.2,2.5,10,33,80.64
14,90,5.7,7.7,2,58,75.1
15,68,4.7,4.9,10,71,89.52
7,69,4,3.5,0,35,48.15
12,92,4.8,5,8,38,68.86
12,60,7.2,6.9,0,34,42.64
5,70,8.3,2.6,2,38,49.67
11,69,7.3,9.5,1,84,63.13
10,54,8.8,7.2,1,57,60.02
17,91,7.1,1.8,2,34,69.35
7,64,7.1,4.2,2,96,76.93
6,98,7.6,6.4,2,92,80.83
12,48,7.6,9.7,5,57,68.13
5,50,4.8,7.2,7,59,59.95
7,97,6.6,6.5,0,66,60.93
16,84,7.5,9,3,75,78.31
8,67,6.1,5.6,0,90,65.24
2,75,8.9,1.4,2,79,68.32
4,88,6.5,2.4,3,78,65.66
1,71,4.6,4.6,5,100,67.84
18,83,6.8,9.7,1,93,87.6
14,99,7.5,3.4,4,81,92.29
11,68,7.8,2.2,3,57,75.85
5,49,8.8,9.3,8,32,53.03
20,58,5.3,2.4,8,49,88.27
6,51,7.7,4.2,0,78,54.19
20,61,5.1,6.9,6,61,86.07
16,95,8,1.6,10,44,95.73
9,65,7.4,5.4,1,60,53.51
11,54,8.3,9.5,1,71,56.84
3,54,7.9,2.6,10,37,61.78
10,82,6,6.1,7,76,81.03
11,86,5.4,5.3,5,70,75.2
3,91,4.9,6.6,1,77,54.57
9,44,4.4,7.9,10,73,71.04
9,41,6.8,7,9,78,77.02
7,77,5.6,5.9,5,53,57.49
1,91,4.7,3.3,6,50,61.79
3,79,8.3,5.5,2,41,45.31
3,100,5,3.2,6,81,77.45
19,81,6.3,1.3,8,90,100
6,67,6.5,5.4,1,53,47.13
13,83,7.8,5.1,5,97,94.73
16,81,6.7,4.2,10,56,97.78
19,97,8.6,7.2,3,44,81.3
13,61,5.5,1.3,8,72,82.63
4,49,4.2,2.1,1,75,57.5
12,71,8,3.5,4,88,89.44
10,70,4,1.4,2,83,79.12
15,65,5.5,5.9,6,93,88.66
19,68,7,9.3,1,83,83.79
13,96,5.7,7.2,0,62,72.23
2,41,6,4.2,3,90,55.24
19,87,5.9,3.5,6,53,93.78
15,45,4.5,6.7,10,75,80.1
13,54,5.6,1.4,5,89,87.55
6,63,5.7,2.5,2,89,68.05
7,67,5.5,9.9,5,67,66.74
20,94,6.8,6.1,5,80,96.74
10,66,7.3,3.2,5,63,77.76
10,87,5.1,7.4,1,69,66.61
13,76,8.6,6.3,9,61,90.73
9,57,6.9,3.6,9,64,82.35
9,41,6.6,7.1,10,51,62.72
2,77,5.6,4.8,9,91,83.05
7,76,7.3,5.8,8,64,70.86
6,46,8.8,10,9,87,71.21
6,47,8.3,7.9,7,71,64.23
17,62,5,6.7,6,77,82.34
19,48,8.3,2.1,3,31,61.87
9,76,6.2,3.7,1,48,60.32
8,76,4.3,1.2,5,43,58.8
4,53,7.7,5.2,6,75,66.84
20,65,5,6.2,10,90,100
18,100,6.2,8.3,9,57,99.07
9,85,5.8,3.7,4,71,73.97
8,45,4.4,9.4,8,77,62.11
7,58,8.5,2.7,6,50,70.89
5,42,8.3,2.8,7,67,63.56
14,53,7.3,1.2,3,87,85.78
14,72,7.7,7.1,10,80,98.52
18,93,4.1,6,10,70,100
5,76,8.3,4.4,9,36,62.1
3,81,7.3,5.4,4,38,51.7
7,42,5.5,8.6,0,49,35.34
12,100,4.2,2.5,8,65,88.21
11,51,6.2,4,2,55,55.5
17,49,7.1,3.1,2,32,55.98
13,76,9,2.9,0,59,64.26
7,56,6,5,1,84,65.9
12,99,8.1,4.9,6,48,83.28
20,79,5.7,8.3,3,37,65.77
12,53,4.3,9.5,2,59,57.73
18,89,5.3,5.4,3,33,66.61
5,42,4.6,3.7,1,32,29.91
6,50,7.3,2.2,0,77,53.56
14,98,8.2,6.9,8,89,100
4,93,8.6,6.8,7,71,80.47
14,46,7.1,8.5,2,63,56.72
12,80,6.7,5.8,7,49,78.7
16,80,4.7,5.6,1,53,63.31
20,42,8,6.3,5,79,85.13
18,58,7.6,9.2,2,61,70.05
7,68,6.9,9.5,2,42,43.04
3,43,4.6,5.1,8,35,44.1
12,84,6.8,8.3,9,36,75.1
3,69,8.3,8.8,7,67,67.43
8,78,4.8,1.9,9,62,82.29
6,78,5.6,9,1,93,60.84
6,49,8.5,9.5,4,61,51.79
15,51,4.8,4.2,4,49,60.94
13,51,5.9,3.9,4,78,79.63
7,98,5,7.6,8,55,69.43
10,58,5.5,8.9,0,69,54.83
17,71,6.5,6.2,5,31,65.5
1,91,4.8,8.7,9,78,75.5
12,44,7.1,8.9,3,87,69.98
20,84,8.5,4.6,10,56,96.92
20,87,5.6,3.1,2,87,99.63
16,60,8,2.4,5,49,71.01
3,96,6,5.9,2,47,47.33
12,76,7.6,2.4,9,66,85.32
11,99,8.3,9.4,6,57,72.31
19,60,5.6,7,9,81,92.21
8,69,7.3,8.3,10,82,80.58
20,86,5.5,7.9,2,35,67.78
3,61,7.3,6.6,0,100,59.99
7,53,7.6,3,8,35,55.99
19,74,8.3,3,2,38,77.39
3,51,8.3,1.8,2,39,43.88
10,72,7.3,9,5,98,78.8
14,74,6.1,5.5,6,68,86.44
4,88,6.9,5.8,4,98,73.18
10,59,7.8,8.5,10,30,59.12
13,51,6.9,5.5,7,86,86.49
16,55,8.2,5.7,6,81,84.87
13,87,5.6,7.7,9,85,96.76
7,58,7.3,2,2,85,73.86
6,44,5,1.2,1,35,38.41
20,56,6.7,8.2,1,66,75.23
17,98,8.4,8,1,41,70.33
20,68,4.8,7.8,9,65,91.66
17,46,7.3,5.6,3,44,67.18
1,43,5.1,4.9,6,32,42.32
6,85,4,1,3,50,61.12
7,74,6,8.9,0,71,57.28
11,91,4.9,3.2,8,60,84.13
1,99,5.8,7.2,6,51,61.53
19,89,7.1,1.5,6,98,100
6,92,6.3,4.9,3,59,60.99
18,96,5,8.8,9,79,100
7,53,8.1,4.7,1,94,66.6
4,96,7.2,5.9,6,52,65.51
4,55,6.2,3.7,1,30,43.37
7,49,7.3,8.1,3,58,55.81
5,46,7.4,8.6,3,74,60.25
15,87,7,8.7,8,91,95.85
1,65,8.8,5.3,6,42,54.82
14,88,7.1,4.3,9,51,81.5
18,73,4.5,6.9,4,61,80.19
20,48,6.3,5,6,44,74.89
17,84,4.6,9.7,6,98,96.44
18,84,5.5,6.9,2,32,70.79
5,84,6,4.3,6,98,82.41
6,79,8.3,6.2,1,47,51.39
7,59,7.1,6.3,2,73,58.98
20,57,7.4,6.7,0,86,83.69
5,77,8.3,1.2,4,90,76.02
20,66,6.1,9.9,4,38,71.09
19,79,6,1.2,0,100,97.63
15,59,7.4,5.5,8,75,90.46
19,58,6,1.7,8,54,91.33
17,94,5.5,4.7,3,66,87.97
17,100,7.1,2.9,9,98,100
4,64,5.5,6.3,0,63,44.98
1,90,7,7,8,80,79.51
11,50,4.6,9,0,50,44.3
15,42,6,3.6,9,37,65.42
18,51,5.4,8.5,5,96,82.38
8,40,6.8,5.9,8,54,67.96
2,61,6.4,7,8,100,73.37
20,87,6.4,8.5,1,100,91.3
8,40,4.7,9.6,5,31,36.01
7,42,7.4,7.5,10,81,72
20,62,7.2,1.2,5,79,93.05
18,56,7.8,2.7,7,99,100
10,67,6.2,1.5,7,32,67.73
17,70,4.8,8.9,0,33,48.42
7,67,5.9,7.2,0,59,47.99
10,59,8.7,3.3,9,35,69.41
9,82,5.7,4.8,6,77,76.02
2,64,4.7,8,1,71,52.16
20,78,6.2,5.3,5,84,99.46
6,100,8.3,2.1,0,72,67.49
10,68,8,3.3,4,91,88.31
10,74,5.4,8.1,5,58,67.29
11,50,4.5,8.4,3,98,68.5
1,71,8.2,9.7,4,72,59.73
7,46,4.8,8.5,9,37,47.9
8,65,4.6,2.7,1,38,53.62
16,55,8.6,6.8,10,89,98.81
14,89,5.4,6.8,3,74,79.8
11,75,5.6,2.6,10,69,85.01
12,48,7.6,3.8,6,44,71.85
11,71,5.8,1.8,1,37,54.44
2,73,8.3,1.4,4,41,52.11
15,59,5.3,3.1,5,57,72.59
5,59,6.2,5.8,4,44,54.29
15,47,5.8,3.7,9,88,88.9
10,94,8.5,2.8,5,59,80.36
18,41,5.1,2.1,3,83,76.07
3,84,5,8.4,8,53,61.03
2,72,6.4,5.8,2,38,40.71
6,70,6.7,2.8,4,85,70.75
3,60,4.9,5,4,82,59.9
7,99,5.6,3,8,36,66.19
19,95,4.5,4.8,7,54,87.36
13,71,4.4,5.3,6,50,71.54
13,77,8.7,9.9,3,56,72.05
5,77,7,3.3,6,85,76.19
11,43,7,6.2,0,34,38.4
18,78,6.8,5.3,9,32,82.34
